orders_details_id,testing_time,steam_preasure,dd_speed,temp_out
1.0,2018-06-04 17:30:00.000,8.0,7.0,118.0
1.0,2018-06-04 18:30:00.000,8.0,7.5,118.0
1.0,2018-06-04 19:30:00.000,8.0,7.5,118.0
1.0,2018-06-04 20:30:00.000,8.0,7.5,118.0
1.0,2018-06-04 21:30:00.000,8.0,7.5,118.0
1.0,2018-06-04 22:30:00.000,8.0,8.0,114.0
1.0,2018-06-04 23:30:00.000,8.0,8.5,113.0
1.0,2018-06-05 00:30:00.000,8.2,8.5,112.0
1.0,2018-06-05 01:30:00.000,8.2,8.5,112.0
1.0,2018-06-05 02:30:00.000,8.2,8.5,112.0
1.0,2018-06-05 03:30:00.000,8.2,8.5,113.0
1.0,2018-06-05 04:30:00.000,8.2,9.0,113.0
1.0,2018-06-05 05:30:00.000,8.2,9.0,112.0
1.0,2018-06-05 06:30:00.000,8.2,9.0,112.0
1.0,2018-06-05 08:30:00.000,8.2,10.0,112.0
1.0,2018-06-05 09:30:00.000,8.2,8.0,112.0
1.0,2018-06-05 10:30:00.000,8.2,10.5,112.0
1.0,2018-06-05 11:30:00.000,8.2,10.0,112.0
1.0,2018-06-05 12:30:00.000,8.2,9.5,112.0
1.0,2018-06-05 13:30:00.000,7.5,9.5,112.0
3.0,2018-06-06 14:30:00.000,8.0,9.0,113.0
3.0,2018-06-06 15:30:00.000,8.0,9.0,113.0
3.0,2018-06-06 16:30:00.005,8.0,9.0,113.0
3.0,2018-06-06 17:30:00.010,7.8,9.0,114.0
3.0,2018-06-06 18:30:00.015,7.8,9.0,114.0
3.0,2018-06-06 19:30:00.020,7.8,9.0,114.0
3.0,2018-06-06 20:30:00.025,7.8,9.0,114.0
3.0,2018-06-06 21:30:00.030,7.8,9.0,114.0
3.0,2018-06-06 22:30:00.035,7.8,9.0,114.0
3.0,2018-06-06 23:30:00.040,7.8,9.0,114.0
3.0,2018-06-07 00:30:00.045,7.8,9.5,114.0
3.0,2018-06-07 01:30:00.050,7.8,9.5,114.0
3.0,2018-06-07 02:30:00.055,7.8,9.5,114.0
3.0,2018-06-07 03:30:00.060,7.8,9.5,114.0
3.0,2018-06-07 04:30:00.065,7.8,9.5,114.0
3.0,2018-06-07 05:30:00.070,8.0,9.5,114.0
3.0,2018-06-07 06:30:00.075,8.0,9.5,114.0
4.0,2018-06-25 16:30:00.000,8.0,7.0,121.0
4.0,2018-06-25 17:30:00.000,8.0,8.0,121.0
4.0,2018-06-25 18:29:59.990,8.0,8.5,121.0
4.0,2018-06-25 19:29:59.985,8.0,9.0,121.0
4.0,2018-06-25 20:29:59.980,8.0,9.0,121.0
4.0,2018-06-25 21:29:59.975,8.0,9.0,121.0
4.0,2018-06-25 22:29:59.970,8.0,9.0,120.0
4.0,2018-06-25 23:29:59.965,8.0,9.0,120.0
4.0,2018-06-26 00:30:00.000,8.0,9.0,120.0
4.0,2018-06-26 01:30:00.000,8.1,9.0,120.0
4.0,2018-06-26 02:30:00.000,8.2,9.0,110.0
4.0,2018-06-26 03:30:00.000,8.2,9.0,120.0
4.0,2018-06-26 04:30:00.000,8.2,9.0,120.0
4.0,2018-06-26 05:30:00.000,8.2,9.0,120.0
4.0,2018-06-26 06:30:00.000,8.2,9.0,120.0
4.0,2018-06-26 07:30:00.000,8.2,8.5,120.0
4.0,2018-06-26 08:30:00.000,8.2,8.6,120.0
4.0,2018-06-26 09:30:00.000,8.2,8.7,120.0
4.0,2018-06-26 10:30:00.000,8.2,8.7,120.0
4.0,2018-06-26 11:30:00.000,8.2,8.7,120.0
4.0,2018-06-26 12:30:00.000,8.2,8.7,120.0
4.0,2018-06-26 13:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 14:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 15:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 16:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 17:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 18:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 19:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 20:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 21:30:00.000,8.2,8.8,120.0
5.0,2018-06-26 22:30:00.000,8.2,9.0,120.0
5.0,2018-06-26 23:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 00:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 01:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 02:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 03:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 04:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 05:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 06:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 07:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 08:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 09:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 10:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 11:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 12:30:00.000,8.2,9.0,120.0
5.0,2018-06-27 13:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 14:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 15:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 16:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 17:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 18:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 19:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 20:30:00.000,8.2,9.0,120.0
6.0,2018-06-27 23:30:00.000,8.2,7.0,116.0
6.0,2018-06-28 00:30:00.000,8.2,7.0,116.0
6.0,2018-06-28 01:30:00.000,8.2,7.0,116.0
6.0,2018-06-28 02:30:00.000,8.2,7.0,116.0
6.0,2018-06-28 03:30:00.000,8.2,7.0,116.0
6.0,2018-06-28 04:30:00.000,8.2,7.0,116.0
6.0,2018-06-28 05:30:00.000,8.2,7.0,116.0
6.0,2018-06-28 06:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 07:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 08:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 09:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 10:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 11:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 12:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 13:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 14:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 15:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 16:30:00.000,8.2,9.0,117.0
6.0,2018-06-28 17:30:00.000,8.2,9.0,117.0
7.0,2018-07-17 01:30:00.000,7.0,7.0,117.0
7.0,2018-07-17 02:30:00.000,7.5,8.5,118.0
7.0,2018-07-17 03:30:00.000,7.5,8.5,118.0
7.0,2018-07-17 04:30:00.000,7.5,8.5,118.0
7.0,2018-07-17 05:30:00.000,7.5,8.5,118.0
7.0,2018-07-17 06:30:00.000,7.5,8.5,118.0
7.0,2018-07-17 07:30:00.000,8.0,8.6,119.0
7.0,2018-07-17 08:30:00.000,8.0,8.6,120.0
7.0,2018-07-17 09:30:00.000,8.0,8.6,120.0
7.0,2018-07-17 10:30:00.000,8.0,8.6,120.0
