orders_details_id,slurry_process_order,slurry_line,slurry_start_time,water_pct,water_correction
1.0,1.0,SL 6,2018-06-04 15:50:00,0.66,-40.0
1.0,2.0,SL 6,2018-06-04 16:15:00,0.66,-40.0
1.0,3.0,SL 6,2018-06-04 16:35:00,0.66,-40.0
1.0,4.0,SL 6,2018-06-04 17:45:00,0.66,-60.0
1.0,5.0,SL 6,2018-06-04 18:10:00,0.66,-60.0
1.0,6.0,SL 6,2018-06-04 19:00:00,0.66,-60.0
1.0,7.0,SL 6,2018-06-04 19:40:00,0.66,-60.0
1.0,8.0,SL 6,2018-06-04 20:00:00,0.66,-60.0
1.0,9.0,SL 6,2018-06-04 20:30:00,0.66,-60.0
1.0,10.0,SL 6,2018-06-04 21:10:00,0.66,-60.0
1.0,11.0,SL 6,2018-06-04 21:45:00,0.66,-60.0
1.0,12.0,SL 6,2018-06-04 22:20:00,0.66,-60.0
1.0,13.0,SL 6,2018-06-04 23:00:00,0.66,-60.0
1.0,14.0,SL 6,2018-06-04 23:40:00,0.66,-60.0
1.0,15.0,SL 6,2018-06-05 00:15:00,0.66,-60.0
1.0,16.0,SL 6,2018-06-05 00:55:00,0.66,-60.0
1.0,17.0,SL 6,2018-06-05 01:35:00,0.66,-60.0
1.0,18.0,SL 6,2018-06-05 02:10:00,0.66,-60.0
1.0,19.0,SL 6,2018-06-05 02:50:00,0.66,-60.0
1.0,20.0,SL 6,2018-06-05 03:35:00,0.66,-60.0
1.0,21.0,SL 6,2018-06-05 04:10:00,0.66,-60.0
1.0,22.0,SL 6,2018-06-05 04:50:00,0.66,-60.0
1.0,23.0,SL 6,2018-06-05 05:30:00,0.66,-60.0
1.0,24.0,SL 6,2018-06-05 06:15:00,0.66,-40.0
1.0,25.0,SL 6,2018-06-05 07:20:00,0.66,-40.0
1.0,26.0,SL 6,2018-06-05 07:40:00,0.66,-20.0
1.0,27.0,SL 6,2018-06-05 08:00:00,0.66,-20.0
1.0,28.0,SL 6,2018-06-05 08:40:00,0.66,-60.0
1.0,29.0,SL 6,2018-06-05 10:00:00,0.66,-60.0
1.0,30.0,SL 6,2018-06-05 10:25:00,0.66,-40.0
1.0,31.0,SL 6,2018-06-05 10:50:00,0.66,-40.0
1.0,32.0,SL 6,2018-06-05 11:30:00,0.66,-40.0
1.0,33.0,SL 6,2018-06-05 12:15:00,0.66,-40.0
1.0,34.0,SL 6,2018-06-05 13:00:00,0.66,-40.0
1.0,35.0,SL 6,2018-06-05 13:40:00,0.66,-40.0
3.0,1.0,SL 6,2018-06-06 14:10:00,0.66,-50.0
3.0,2.0,SL 6,2018-06-06 14:45:00,0.66,-50.0
3.0,3.0,SL 6,2018-06-06 15:25:00,0.66,-50.0
3.0,4.0,SL 6,2018-06-06 16:05:00,0.66,-50.0
3.0,5.0,SL 6,2018-06-06 16:45:00,0.66,-50.0
3.0,6.0,SL 6,2018-06-06 17:30:00,0.66,-50.0
3.0,7.0,SL 6,2018-06-06 18:05:00,0.66,-50.0
3.0,8.0,SL 6,2018-06-06 18:45:00,0.66,-50.0
3.0,9.0,SL 6,2018-06-06 19:30:00,0.66,-50.0
3.0,10.0,SL 6,2018-06-06 20:00:00,0.66,-50.0
3.0,11.0,SL 6,2018-06-06 20:45:00,0.66,-50.0
3.0,12.0,SL 6,2018-06-06 21:30:00,0.66,-50.0
3.0,13.0,SL 6,2018-06-06 22:05:00,0.66,-50.0
3.0,14.0,SL 6,2018-06-06 22:50:00,0.66,-50.0
3.0,15.0,SL 6,2018-06-06 23:30:00,0.66,-50.0
3.0,16.0,SL 6,2018-06-07 00:10:00,0.66,-50.0
3.0,17.0,SL 6,2018-06-07 00:50:00,0.66,-50.0
3.0,18.0,SL 6,2018-06-07 01:30:00,0.66,-50.0
3.0,19.0,SL 6,2018-06-07 02:10:00,0.66,-50.0
3.0,20.0,SL 6,2018-06-07 02:45:00,0.66,-50.0
3.0,21.0,SL 6,2018-06-07 03:25:00,0.66,-50.0
3.0,22.0,SL 6,2018-06-07 04:05:00,0.66,-50.0
3.0,23.0,SL 6,2018-06-07 04:45:00,0.66,-50.0
4.0,1.0,SL 6,2018-06-25 15:15:00,0.66,-40.0
4.0,2.0,SL 6,2018-06-25 15:35:00,0.66,-40.0
4.0,3.0,SL 6,2018-06-25 15:50:00,0.66,-60.0
4.0,4.0,SL 6,2018-06-25 16:25:00,0.66,-60.0
4.0,5.0,SL 6,2018-06-25 17:00:00,0.66,-60.0
4.0,6.0,SL 6,2018-06-25 17:45:00,0.66,-60.0
4.0,7.0,SL 6,2018-06-25 18:20:00,0.66,-60.0
4.0,8.0,SL 6,2018-06-25 18:55:00,0.66,-60.0
4.0,9.0,SL 6,2018-06-25 19:30:00,0.66,-60.0
4.0,10.0,SL 6,2018-06-25 20:05:00,0.66,-60.0
4.0,11.0,SL 6,2018-06-25 20:40:00,0.66,-60.0
4.0,12.0,SL 6,2018-06-25 21:20:00,0.66,-60.0
4.0,13.0,SL 6,2018-06-25 22:35:00,0.66,-60.0
4.0,14.0,SL 6,2018-06-25 23:10:00,0.66,-60.0
4.0,15.0,SL 6,2018-06-25 23:45:00,0.66,-60.0
4.0,16.0,SL 6,2018-06-26 00:20:00,0.66,-60.0
4.0,17.0,SL 6,2018-06-26 00:55:00,0.66,-60.0
4.0,18.0,SL 6,2018-06-25 01:35:00,0.66,-60.0
4.0,19.0,SL 6,2018-06-26 02:20:00,0.66,-60.0
4.0,20.0,SL 6,2018-06-26 02:55:00,0.66,-60.0
4.0,21.0,SL 6,2018-06-26 03:35:00,0.66,-60.0
4.0,22.0,SL 6,2018-06-26 04:10:00,0.66,-60.0
4.0,23.0,SL 6,2018-06-26 04:45:00,0.66,-60.0
4.0,24.0,SL 6,2018-06-26 05:25:00,0.66,-60.0
4.0,25.0,SL 6,2018-06-26 06:00:00,0.66,-60.0
4.0,26.0,SL 6,2018-06-26 06:30:00,0.66,-60.0
4.0,27.0,SL 6,2018-06-26 07:10:00,0.66,-60.0
4.0,28.0,SL 6,2018-06-26 07:45:00,0.66,-60.0
4.0,29.0,SL 6,2018-06-26 08:25:00,0.66,-60.0
4.0,30.0,SL 6,2018-06-26 09:00:00,0.66,-60.0
4.0,31.0,SL 6,2018-06-26 09:30:00,0.66,-60.0
4.0,32.0,SL 6,2018-06-26 10:10:00,0.66,-60.0
4.0,33.0,SL 6,2018-06-26 10:45:00,0.66,-60.0
4.0,34.0,SL 6,2018-06-26 11:30:00,0.66,-60.0
4.0,35.0,SL 6,2018-06-26 12:00:00,0.66,-60.0
4.0,36.0,SL 6,2018-06-26 12:30:00,0.66,-60.0
4.0,37.0,SL 6,2018-06-26 13:05:00,0.66,-60.0
4.0,38.0,SL 6,2018-06-26 13:40:00,0.66,-60.0
5.0,1.0,SL 6,2018-06-26 14:45:00,0.66,-60.0
5.0,2.0,SL 6,2018-06-26 15:50:00,0.66,-60.0
5.0,3.0,SL 6,2018-06-26 15:30:00,0.66,-60.0
5.0,4.0,SL 6,2018-06-26 16:05:00,0.66,-60.0
5.0,5.0,SL 6,2018-06-26 16:55:00,0.66,-60.0
5.0,6.0,SL 6,2018-06-26 17:30:00,0.66,-60.0
5.0,7.0,SL 6,2018-06-26 18:05:00,0.66,-60.0
5.0,8.0,SL 6,2018-06-26 18:50:00,0.66,
5.0,9.0,SL 6,2018-06-26 19:25:00,0.66,-60
5.0,10.0,SL 6,2018-06-26 19:50:00,0.66,-60
5.0,11.0,SL 6,2018-06-26 20:30:00,0.66,-60
5.0,12.0,SL 6,2018-06-26 21:15:00,0.66,-60
5.0,13.0,SL 6,2018-06-26 21:55:00,0.66,-60
5.0,14.0,SL 6,2018-06-26 22:35:00,0.66,-60
5.0,15.0,SL 6,2018-06-26 23:10:00,0.66,-60
5.0,16.0,SL 6,2018-06-26 23:45:00,0.66,-60
5.0,17.0,SL 6,2018-06-27 00:25:00,0.66,-60
5.0,18.0,SL 6,2018-06-27 01:00:00,0.66,-60
5.0,19.0,SL 6,2018-06-27 01:35:00,0.66,-60
5.0,20.0,SL 6,2018-06-27 02:15:00,0.66,-60
5.0,21.0,SL 6,2018-06-27 02:50:00,0.66,-60
5.0,22.0,SL 6,2018-06-27 03:25:00,0.66,-60
5.0,23.0,SL 6,2018-09-21 04:05:00,0.66,-60
5.0,24.0,SL 6,2018-06-27 04:40:00,0.66,-60
5.0,25.0,SL 6,2018-06-27 05:20:00,0.66,-60
5.0,26.0,SL 6,2018-06-27 06:00:00,0.66,-60
5.0,27.0,SL 6,2018-06-27 06:35:00,0.66,-60
5.0,28.0,SL 6,2018-06-27 07:10:00,0.66,-60
5.0,29.0,SL 6,2018-06-27 07:50:00,0.66,-60
5.0,30.0,SL 6,2018-06-27 08:20:00,0.66,-60
5.0,31.0,SL 6,2018-06-27 09:00:00,0.66,-60
5.0,32.0,SL 6,2018-06-27 09:35:00,0.66,-60
5.0,33.0,SL 6,2018-06-27 10:10:00,0.66,-60
5.0,34.0,SL 6,2018-06-27 10:50:00,0.66,-60
5.0,35.0,SL 6,2018-06-27 11:30:00,0.66,-60
5.0,36.0,SL 6,2018-06-27 12:09:00,0.66,-60
5.0,37.0,SL 6,2018-06-27 12:40:00,0.66,-60
5.0,38.0,SL 6,2018-06-27 13:20:00,0.66,-60
6.0,1.0,SL 6,2018-06-27 14:05:00,0.66,-60
6.0,2.0,SL 6,2018-06-27 14:30:00,0.66,-60
6.0,3.0,SL 6,2018-06-27 15:05:00,0.66,-60
6.0,4.0,SL 6,2018-06-27 15:40:00,0.66,-60
6.0,5.0,SL 6,2018-06-27 16:20:00,0.66,-60
6.0,6.0,SL 6,2018-06-27 16:50:00,0.66,-60
6.0,7.0,SL 6,2018-06-27 17:35:00,0.66,-60
6.0,8.0,SL 6,2018-06-27 18:10:00,0.66,-60
6.0,9.0,SL 6,2018-06-27 16:45:00,0.66,-60
6.0,10.0,SL 6,2018-06-27 19:25:00,0.66,-60
6.0,11.0,SL 6,2018-06-27 22:15:00,0.66,-60
6.0,12.0,SL 6,2018-06-27 22:30:00,0.66,-60
6.0,13.0,SL 6,2018-06-27 23:15:00,0.66,-60
6.0,14.0,SL 6,2018-06-28 00:05:00,0.66,-60
6.0,15.0,SL 6,2018-06-28 00:40:00,0.66,-60
6.0,16.0,SL 6,2018-06-28 01:20:00,0.66,-60
6.0,17.0,SL 6,2018-06-28 01:55:00,0.66,-60
6.0,18.0,SL 6,2018-06-28 02:35:00,0.66,-60
6.0,19.0,SL 6,2018-06-28 03:15:00,0.66,-60
6.0,20.0,SL 6,2018-06-28 03:45:00,0.66,-60
6.0,21.0,SL 6,2018-06-28 04:25:00,0.66,-60
6.0,22.0,SL 6,2018-06-28 05:05:00,0.66,-60
6.0,23.0,SL 6,2018-06-28 05:40:00,0.66,-60
6.0,24.0,SL 6,2018-06-28 06:15:00,0.66,-60
6.0,25.0,SL 6,2018-06-28 06:50:00,0.66,-60
6.0,26.0,SL 6,2018-06-28 07:30:00,0.66,-60
6.0,27.0,SL 6,2018-06-28 08:05:00,0.66,-60
7.0,1.0,SL 6,2018-07-17 00:50:00,0.66,-50
7.0,2.0,SL 6,2018-07-17 01:05:00,0.66,-50
7.0,3.0,SL 6,2018-07-17 01:20:00,0.66,-50
7.0,4.0,SL 6,2018-07-17 01:40:00,0.66,-50
7.0,5.0,SL 6,2018-07-17 02:30:00,0.66,-50
7.0,6.0,SL 6,2018-07-17 03:15:00,0.66,-50
7.0,7.0,SL 6,2018-07-17 03:55:00,0.66,-50
7.0,8.0,SL 6,2018-07-17 04:35:00,0.66,-50
7.0,9.0,SL 6,2018-07-17 05:15:00,0.66,-50
7.0,10.0,SL 6,2018-07-17 06:00:00,0.66,-50
7.0,11.0,SL 6,2018-07-17 06:40:00,0.66,-50
7.0,12.0,SL 6,2018-07-17 07:20:00,0.66,-50
7.0,13.0,SL 6,2018-07-17 08:00:00,0.66,-50
7.0,14.0,SL 6,2018-07-17 08:40:00,0.66,-50
7.0,15.0,SL 6,2018-07-17 09:20:00,0.66,-50
7.0,16.0,SL 6,2018-07-17 10:00:00,0.66,-50
7.0,17.0,SL 6,2018-07-17 10:40:00,0.66,-50
7.0,18.0,SL 6,2018-07-17 11:20:00,0.66,-50
7.0,19.0,SL 6,2018-07-17 12:00:00,0.66,-50
7.0,20.0,SL 6,2018-07-17 12:40:00,0.66,-50
7.0,21.0,SL 6,2018-07-17 13:20:00,0.66,-50
7.0,22.0,SL 6,2018-07-17 14:00:00,0.66,-50
7.0,23.0,SL 6,2018-07-17 14:35:00,0.66,-50
7.0,24.0,SL 6,2018-07-17 15:15:00,0.66,-50
7.0,25.0,SL 6,2018-07-17 15:55:00,0.66,-50
7.0,26.0,SL 6,2018-07-17 17:05:00,0.66,-50
7.0,27.0,SL 6,2018-07-17 17:20:00,0.66,-50
7.0,28.0,SL 6,2018-07-17 17:45:00,0.66,-50
7.0,29.0,SL 6,2018-07-17 18:35:00,0.66,-50
7.0,30.0,SL 6,2018-07-17 19:20:00,0.66,-50
7.0,31.0,SL 6,2018-07-17 19:45:00,0.66,-50
7.0,32.0,SL 6,2018-07-17 20:30:00,0.66,-50
7.0,33.0,SL 6,2018-07-17 21:05:00,0.66,-50
7.0,34.0,SL 6,2018-07-17 21:50:00,0.66,-50
8.0,1.0,SL 6,2018-07-17 22:30:00,0.66,-50
8.0,2.0,SL 6,2018-07-17 23:05:00,0.66,-50
8.0,3.0,SL 6,2018-07-17 23:45:00,0.66,-50
8.0,4.0,SL 6,2018-07-18 00:25:00,0.66,-50
8.0,5.0,SL 6,2018-07-18 01:05:00,0.66,-50
8.0,6.0,SL 6,2018-07-18 01:45:00,0.66,-50
8.0,7.0,SL 6,2018-07-18 02:20:00,0.66,-50
8.0,8.0,SL 6,2018-07-18 03:00:00,0.66,-50
8.0,9.0,SL 6,2018-07-18 03:40:00,0.66,-50
8.0,10.0,SL 6,2018-07-18 04:15:00,0.66,-50
8.0,11.0,SL 6,2018-07-18 04:55:00,0.66,-50
8.0,12.0,SL 6,2018-07-18 05:30:00,0.66,-50
8.0,13.0,SL 6,2018-07-18 06:10:00,0.66,-50
8.0,14.0,SL 6,2018-07-18 06:50:00,0.66,-50
8.0,15.0,SL 6,2018-07-18 07:30:00,0.66,-50
8.0,16.0,SL 6,2018-07-18 08:10:00,0.66,-50
8.0,17.0,SL 6,2018-07-18 08:50:00,0.66,-50
8.0,18.0,SL 6,2018-07-18 09:30:00,0.66,-50
8.0,19.0,SL 6,2018-07-18 10:45:00,0.66,-50
8.0,20.0,SL 6,2018-07-18 11:20:00,0.66,-50
8.0,21.0,SL 6,2018-07-18 12:00:00,0.66,-50
8.0,22.0,SL 6,2018-07-18 12:40:00,0.66,-50
8.0,23.0,SL 6,2018-07-18 13:20:00,0.66,-50
8.0,24.0,SL 6,2018-07-18 14:10:00,0.66,-50
8.0,25.0,SL 6,2018-07-18 14:35:00,0.66,-50
8.0,26.0,SL 6,2018-07-18 15:10:00,0.66,-50
8.0,27.0,SL 6,2018-07-18 15:55:00,0.66,-50
9.0,1.0,SL 6,2018-08-17 14:45:00,0.66,-40
9.0,2.0,SL 6,2018-08-17 15:10:00,0.66,-40
9.0,3.0,SL 6,2018-08-17 15:25:00,0.66,-40
9.0,4.0,SL 6,2018-08-17 16:00:00,0.66,-40
9.0,5.0,SL 6,2018-08-17 16:45:00,0.66,-40
9.0,6.0,SL 6,2018-08-17 17:25:00,0.66,-40
9.0,7.0,SL 6,2018-08-17 18:10:00,0.66,-40
9.0,8.0,SL 6,2018-08-17 18:55:00,0.66,-40
9.0,9.0,SL 6,2018-08-17 19:40:00,0.66,-40
9.0,10.0,SL 6,2018-08-17 20:20:00,0.66,-40
9.0,11.0,SL 6,2018-08-17 21:05:00,0.66,-40
9.0,12.0,SL 6,2018-08-17 21:45:00,0.66,-40
9.0,13.0,SL 6,2018-08-17 22:20:00,0.66,-40
9.0,14.0,SL 6,2018-08-17 23:40:00,0.66,-40
9.0,15.0,SL 6,2018-08-18 00:20:00,0.66,-40
9.0,16.0,SL 6,2018-08-18 01:40:00,0.66,-40
9.0,17.0,SL 6,2018-08-18 02:20:00,0.66,-40
9.0,18.0,SL 6,2018-08-18 02:55:00,0.66,-40
9.0,19.0,SL 6,2018-08-18 03:30:00,0.66,-40
9.0,20.0,SL 6,2018-08-18 04:15:00,0.66,-40
9.0,21.0,SL 6,2018-08-18 04:50:00,0.66,-40
9.0,22.0,SL 6,2018-08-18 05:30:00,0.66,-40
9.0,23.0,SL 6,2018-08-18 06:05:00,0.66,-40
9.0,24.0,SL 6,2018-08-18 06:45:00,0.66,-40
9.0,25.0,SL 6,2018-08-18 07:35:00,0.66,-40
9.0,26.0,SL 6,2018-08-18 09:50:00,0.66,-40
9.0,27.0,SL 6,2018-08-18 10:15:00,0.66,-40
9.0,28.0,SL 6,2018-08-18 11:10:00,0.66,-40
9.0,29.0,SL 6,2018-08-18 11:40:00,0.66,-55
9.0,30.0,SL 6,2018-08-18 12:15:00,0.66,-60
9.0,31.0,SL 6,2018-08-18 13:00:00,0.66,-60
9.0,32.0,SL 6,2018-08-18 13:40:00,0.66,-60
10.0,1.0,SL 6,2018-08-17 14:10:00,0.66,-60
10.0,2.0,SL 6,2018-08-17 14:50:00,0.66,-60
10.0,3.0,SL 6,2018-08-17 15:20:00,0.66,-60
10.0,4.0,SL 6,2018-08-17 16:00:00,0.66,-60
10.0,5.0,SL 6,2018-08-17 16:00:00,0.66,-60
10.0,6.0,SL 6,2018-08-17 16:30:00,0.66,-60
10.0,7.0,SL 6,2018-08-17 17:05:00,0.66,-60
10.0,8.0,SL 6,2018-08-17 17:40:00,0.66,-60
10.0,9.0,SL 6,2018-08-17 18:25:00,0.66,-60
10.0,10.0,SL 6,2018-08-17 18:50:00,0.66,-60
10.0,11.0,SL 6,2018-08-17 19:25:00,0.66,-60
10.0,12.0,SL 6,2018-08-17 20:00:00,0.66,-60
10.0,13.0,SL 6,2018-08-17 20:30:00,0.66,-60
10.0,14.0,SL 6,2018-08-17 21:05:00,0.66,-60
10.0,15.0,SL 6,2018-08-17 21:40:00,0.66,-60
10.0,16.0,SL 6,2018-08-17 22:10:00,0.66,-60
10.0,17.0,SL 6,2018-08-17 22:40:00,0.66,-60
10.0,18.0,SL 6,2018-08-17 23:20:00,0.66,-60
10.0,19.0,SL 6,2018-08-18 00:00:00,0.66,-60
10.0,20.0,SL 6,2018-08-18 00:35:00,0.66,-50
10.0,21.0,SL 6,2018-08-18 01:10:00,0.66,-50
10.0,22.0,SL 6,2018-08-18 01:45:00,0.66,-50
10.0,23.0,SL 6,2018-08-18 02:20:00,0.66,-50
10.0,24.0,SL 6,2018-08-18 03:00:00,0.66,-50
10.0,25.0,SL 6,2018-08-18 03:40:00,0.66,-50
10.0,26.0,SL 6,2018-08-18 04:15:00,0.66,-50
10.0,27.0,SL 6,2018-08-18 04:50:00,0.66,-50
10.0,28.0,SL 6,2018-08-18 05:30:00,0.66,-50
10.0,29.0,SL 6,2018-08-18 06:05:00,0.66,-50
10.0,30.0,SL 6,2018-08-18 06:40:00,0.66,-50
